Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
18/06/2023 09:45:00,01/05/2023,Aggregate LNG Importations - Daily Flow,76.36737,18/06/2023 11:00:00,
18/06/2023 09:45:00,02/05/2023,Aggregate LNG Importations - Daily Flow,89.13126,18/06/2023 11:00:00,
18/06/2023 09:45:00,03/05/2023,Aggregate LNG Importations - Daily Flow,87.66342,18/06/2023 11:00:00,
18/06/2023 09:45:00,04/05/2023,Aggregate LNG Importations - Daily Flow,72.27203,18/06/2023 11:00:00,
18/06/2023 09:45:00,05/05/2023,Aggregate LNG Importations - Daily Flow,89.68053,18/06/2023 11:00:00,
18/06/2023 09:45:00,06/05/2023,Aggregate LNG Importations - Daily Flow,76.16977,18/06/2023 11:00:00,
18/06/2023 09:45:00,07/05/2023,Aggregate LNG Importations - Daily Flow,70.84637,18/06/2023 11:00:00,
18/06/2023 09:45:00,08/05/2023,Aggregate LNG Importations - Daily Flow,74.95236,18/06/2023 11:00:00,
18/06/2023 09:45:00,09/05/2023,Aggregate LNG Importations - Daily Flow,87.59946,18/06/2023 11:00:00,
18/06/2023 09:45:00,10/05/2023,Aggregate LNG Importations - Daily Flow,90.08418,18/06/2023 11:00:00,
18/06/2023 09:45:00,11/05/2023,Aggregate LNG Importations - Daily Flow,93.79095,18/06/2023 11:00:00,
18/06/2023 09:45:00,12/05/2023,Aggregate LNG Importations - Daily Flow,81.30413,18/06/2023 11:00:00,
18/06/2023 09:45:00,13/05/2023,Aggregate LNG Importations - Daily Flow,81.26233,18/06/2023 11:00:00,
18/06/2023 09:45:00,14/05/2023,Aggregate LNG Importations - Daily Flow,76.62344,18/06/2023 11:00:00,
18/06/2023 09:45:00,15/05/2023,Aggregate LNG Importations - Daily Flow,81.2182,18/06/2023 11:00:00,
18/06/2023 09:45:00,16/05/2023,Aggregate LNG Importations - Daily Flow,88.03157,18/06/2023 11:00:00,
18/06/2023 09:45:00,17/05/2023,Aggregate LNG Importations - Daily Flow,89.20976,18/06/2023 11:00:00,
18/06/2023 09:45:00,18/05/2023,Aggregate LNG Importations - Daily Flow,77.61519,18/06/2023 11:00:00,
18/06/2023 09:45:00,19/05/2023,Aggregate LNG Importations - Daily Flow,89.77821,18/06/2023 11:00:00,
18/06/2023 09:45:00,20/05/2023,Aggregate LNG Importations - Daily Flow,68.86672,18/06/2023 11:00:00,
18/06/2023 09:45:00,21/05/2023,Aggregate LNG Importations - Daily Flow,75.42459,18/06/2023 11:00:00,
18/06/2023 09:45:00,22/05/2023,Aggregate LNG Importations - Daily Flow,79.03393,18/06/2023 11:00:00,
18/06/2023 09:45:00,23/05/2023,Aggregate LNG Importations - Daily Flow,70.48659,18/06/2023 11:00:00,
18/06/2023 09:45:00,24/05/2023,Aggregate LNG Importations - Daily Flow,83.98563,18/06/2023 11:00:00,
18/06/2023 09:45:00,25/05/2023,Aggregate LNG Importations - Daily Flow,78.47553,18/06/2023 11:00:00,
18/06/2023 09:45:00,26/05/2023,Aggregate LNG Importations - Daily Flow,82.93356,18/06/2023 11:00:00,
18/06/2023 09:45:00,27/05/2023,Aggregate LNG Importations - Daily Flow,41.50313,18/06/2023 11:00:00,
18/06/2023 09:45:00,28/05/2023,Aggregate LNG Importations - Daily Flow,43.60017,18/06/2023 11:00:00,
18/06/2023 09:45:00,29/05/2023,Aggregate LNG Importations - Daily Flow,47.81119,18/06/2023 11:00:00,
18/06/2023 09:45:00,30/05/2023,Aggregate LNG Importations - Daily Flow,67.92222,18/06/2023 11:00:00,
18/06/2023 09:45:00,31/05/2023,Aggregate LNG Importations - Daily Flow,65.42426,18/06/2023 11:00:00,
18/06/2023 09:45:00,01/05/2023,Beach and IOG - Beach Delivery,220.57034,18/06/2023 10:00:00,
18/06/2023 09:45:00,02/05/2023,Beach and IOG - Beach Delivery,224.25661,18/06/2023 10:00:00,
18/06/2023 09:45:00,03/05/2023,Beach and IOG - Beach Delivery,217.00744,18/06/2023 10:00:00,
18/06/2023 09:45:00,04/05/2023,Beach and IOG - Beach Delivery,217.73119,18/06/2023 10:00:00,
